id,app,category,description,auth,access,access_detail,surface,verdict,blocker,note,sources,mcp_kind,mcp_scope,mcp_url
1,Salesforce,CRM & Sales,Enterprise customer and sales records,OAuth2,Sandbox,Free Developer Edition; API Enabled permission required. Production edition entitlement is separate.,REST; broad CRM objects and queries,Build,Production entitlement,Prototype in a developer org; confirm customer API entitlement before rollout.,https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart-dev-org.html; https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/postman.html,Official,Hosted Salesforce resource servers; org/client setup required,https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/postman.html
2,HubSpot,CRM & Sales,"CRM, marketing and sales automation",OAuth2; Token,Sandbox,Free developer/test account; private app token for owned accounts; public apps use OAuth.,"REST; CRM, contacts and marketing",Build,None,Legacy API-key guidance is stale; use private app tokens or OAuth.,https://developers.hubspot.com/blog/harnessing-the-power-of-hubspots-public-apis-with-postman,Official,HubSpot user-level app scopes,https://developers.hubspot.com/ai-tools/mcp
3,Pipedrive,CRM & Sales,Sales pipelines and deal tracking,OAuth2; API key,Trial,API token included with every plan; developer sandbox path documented.,"REST; broad deals, people, activities and webhooks",Build,None,Use OAuth for distributed apps; a personal token inherits the user's access.,https://www.pipedrive.com/en/features/crm-api; https://developers.pipedrive.com/docs/api/v1; https://pipedrive.readme.io/docs/core-api-concepts-authentication,Official,Native CRM workflows,https://www.pipedrive.com/en/features/mcp-server
4,Attio,CRM & Sales,Flexible relationship and pipeline CRM,OAuth2; Token,Free,API access available on all plans; an active workspace is required.,"REST; records, lists, tasks and notes",Build,None,Official MCP offers a faster start; validate whether its tools cover the intended workflow.,https://attio.com/platform/developers; https://attio.com/help/reference/workspace-settings-billing/attio-plans-and-features; https://attio.com/apps/mcp,Official,Workspace records and CRM workflows,https://attio.com/apps/mcp
5,Twenty,CRM & Sales,Open-source customizable CRM,API key,Local,Self-hosting path; hosted plan is a separate purchase decision.,REST + GraphQL; generated CRM object APIs,Build,Runtime,Self-hosted credentials require an installed workspace; do not infer OAuth from website navigation.,https://github.com/twentyhq/twenty/issues/10283; https://twentyhq-twenty.mintlify.app/,,,
6,Podio,CRM & Sales,Configurable work and relationship apps,OAuth2,Free,API documented for both free and paid Podio accounts; register a client.,"REST; items, apps, workspaces and tasks",Build,None,Prefer authorization code or app auth; avoid collecting users' passwords.,https://developers.podio.com/authentication; https://developers.podio.com/index/faq,,,
7,Zoho CRM,CRM & Sales,Customer and sales management,OAuth2,Account check,Developer console registration and CRM organization required; edition limits apply; free eligibility not settled here.,"REST; CRM modules, records and automation",Conditional,Plan check,"Tokens are organization, environment and region specific; verify edition credits before launch.",https://www.zoho.com/crm/developer/docs/api/v8/auth-request.html; https://www.zoho.com/crm/developer/docs/api/v8/api-limits.html,,,
8,Close,CRM & Sales,Sales CRM with calling and outreach,OAuth2; API key; Basic,Account check,Generate keys in account settings or create an OAuth app; trial entitlement not independently established.,"REST; leads, contacts and sales activity",Conditional,Plan check,API key is the Basic username with an empty password; OAuth is preferred for public apps.,https://developer.close.com/integrations; https://developer.close.com/api/overview/api-key-authentication,Official,"Read, safe-write and destructive-write scope groups",https://developer.close.com/mcp
9,Copper,CRM & Sales,Relationship CRM for Google Workspace teams,OAuth2; API key,Trial,"API available on trial, Professional and Business plans.","REST; CRM people, companies, opportunities and activity",Build,Subscription,Keys require both token and user email; partner OAuth is a separate path.,https://developer.copper.com/introduction/authentication.html; https://support.copper.com/en/articles/8823462-api-docs-and-tips,,,
10,DealCloud,CRM & Sales,Deal and relationship management for financial firms,OAuth2; API key,Admin / paid,Customer tenant and API-enabled user group; admin or customer-success help if missing.,"REST; data, schema, users, publications and backups",Conditional,Admin,API key is exchanged through client-credentials OAuth; it is not simply a static bearer key.,https://api.docs.dealcloud.com/docs/token; https://api.docs.dealcloud.com/docs/apikeys; https://api.docs.dealcloud.com/docs,,,
